568,11,Flop,Average,Hit,SuperHit,BlockBuster,,,,,
221,59389433,106111,17627,181,15000000,7,49000,7,1006,16450,3
382,334615000,338635,22403,412,125000000,7.5,39000,7,3971,22133,3
584,54674226,136367,13021,975,32000000,6.7,39000,6.5,1009,12687,2
257,120081841,111003,36873,199,50000000,7.1,22000,6.5,928,33488,3
419,110206216,283563,53094,312,50000000,7.6,27000,7,1409,51152,3
392,84606030,102728,36258,279,35000000,6.6,16000,6,766,51363,2
291,89162162,91151,15369,283,42000000,5.4,20000,5.7,958,13221,2
435,89792502,197584,7067,918,82000000,6.1,42000,5.9,1661,6826,2
327,299268508,254841,22254,426,110000000,7.1,36000,6.6,2749,21662,3
189,187361754,67191,2820,108,55000000,6,14000,5.7,775,2116,2
549,177243185,205284,9578,439,20000000,7.3,22000,6.7,956,10008,3
360,173930596,304318,34011,463,40000000,6.7,52000,6.7,3512,33487,3
251,205703818,76828,2371,314,5000000,5.8,24000,5.9,685,1477,3
304,559852396,101178,4482,283,200000000,6.3,10000,5.8,2088,3182,3
510,370569774,508818,19761,679,140000000,6.9,46000,6.6,7174,16394,3
362,245724603,183208,43291,337,135000000,7.2,26000,6.6,2094,42502,3
448,1045713802,370704,54083,484,380000000,6.7,58000,6.4,5068,52252,3
676,78054825,431578,34337,1264,15000000,7.8,81000,7.4,3832,33973,3
261,19560274,64794,3569,131,6000000,7.3,17000,6.8,378,3561,2
288,15395087,34488,2452,136,30000000,6.9,15000,6.3,291,2616,1
238,150483765,270228,20956,194,35000000,6.6,41000,6.5,2306,19010,3
345,27462041,80617,23755,190,15000000,6.5,36000,6.2,589,23691,2
420,97138686,104119,4486,518,40000000,6.2,26000,6.1,930,3428,2
349,130786397,210548,17151,332,30000000,6.9,29000,6.5,1288,15843,3
180,82087155,65044,561,173,35000000,5,13000,5.6,987,772,2
383,254455986,375879,16143,402,80000000,6.5,56000,6.2,3836,15611,3
172,563749323,66593,692,153,110000000,5.5,31000,5.5,1201,674,3
399,3964682,82331,2011,297,14350531,6.6,18000,6.3,748,1724,1
440,371940071,177383,4631,447,130000000,7.4,44000,6.7,2095,17716,3
327,39187783,270441,39807,378,8000000,7.7,40000,7,1287,36129,2
284,226904017,138190,16691,405,75000000,6.1,30000,5.7,898,16985,3
516,449326618,536314,60059,738,150000000,7,63000,6.6,6678,58000,3
342,97552050,192462,390,334,40000000,7,42000,6.5,1825,393,3
358,24922237,85024,1393,242,17000000,6.4,23000,6,617,1116,2
310,142851197,375456,57426,292,50000000,7.4,44000,7,2522,55043,3
487,151119219,301149,1289,509,30000000,7.7,78000,7.4,2049,12004,3
432,694713380,365104,21768,512,145000000,7.4,35000,6.8,4026,21353,3
529,482860185,403836,13118,646,93000000,7.6,47000,7,4452,12860,3
522,147332697,379462,16034,571,32000000,7.5,56000,7.1,2752,15846,3
682,185770160,245333,36017,678,170000000,7.5,42000,7,2197,51000,3
277,157887643,83788,3074,227,47000000,5.9,20000,5.9,892,1957,2
272,748453,37495,1249,230,3000000,6.1,37000,5.7,213,1181,1
240,484635760,165333,12071,186,90000000,7,19000,6.5,2213,12017,3
436,219851172,223393,17657,550,200000000,5.6,24000,5.1,2551,16952,1
386,35057696,71679,17204,216,6400000,7,17000,6.6,418,15982,2
18,30905,6025,2924,15,930000,5.7,995,5.3,66,2230,0
340,117000000,353442,18669,387,35000000,6.9,31000,6.4,2341,18619,2
110,47088990,35514,5024,114,18000000,7.1,15000,6.9,355,3598,2
377,303025485,202382,26679,751,209000000,5.9,44000,5.5,2141,25159,2
656,232324128,452465,3133,695,44500000,7.7,89000,7.1,3473,2310,3
233,877244782,145321,25354,139,95000000,6.6,14000,6.2,2731,23936,3
375,201585328,408302,19968,345,42000000,7.2,39000,6.7,4151,18907,3
444,31724284,108683,12306,561,5000000,5.3,25000,5,1580,12604,1
377,471222889,272534,4451,345,165000000,7.8,40000,7.1,4656,2805,3
411,77712439,155153,2239,524,3000000,6.8,58000,6.8,1611,2132,3
414,145000000,204327,2054,471,15000000,7.1,32000,6.6,1965,1927,3
645,1021103568,637246,9152,1367,250000000,7.9,166000,7,8427,6745,3
765,425368238,955174,40978,1193,100000000,8.5,199000,7.8,10297,56265,4
214,196114570,145852,18322,164,30000000,6.8,32000,7,1328,17663,3
526,245527149,199039,80849,479,150000000,6.2,82000,5.7,2383,86000,2
703,1519557910,995415,87697,1722,220000000,8.1,123000,7.4,12000,66000,4
462,284139100,212204,1873,738,260000000,6.6,24000,6.1,2170,2277,2
451,624026776,268154,12572,341,225000000,6.8,40000,6.3,4228,11722,3
775,403170142,456260,24098,2326,130000000,7,97000,6.3,5152,22641,4
195,13551174,48162,25804,140,14000000,6.2,10000,6,381,25009,1
322,829000000,185394,59177,329,120000000,5.5,65000,6.1,2641,50386,3
813,1084939099,1144337,106759,2701,250000000,8.5,164000,7.6,9263,95000,4
223,115350426,213898,12676,250,17000000,7.2,36000,7.3,2310,11533,3
401,19422261,185845,4757,284,15000000,7.2,52000,6.7,1224,4176,2
457,549368315,471644,21773,623,50000000,7,74000,6.3,4811,22000,3
432,41037742,203461,578,588,50000000,7.1,46000,6.6,1971,574,2
371,180274123,145270,7099,322,42000000,7.6,54000,7,2071,6837,3
216,81272766,57996,146,349,12000000,6.5,15000,6.3,420,137,2
539,205738714,533607,72115,692,21000000,7.8,117000,7,4840,70737,3
211,746921274,119213,2444,154,145000000,6.9,17000,6.4,1857,2092,3
258,46221189,125198,362,153,42000000,6.6,11000,6.2,936,262,2
634,66486080,277172,29551,986,30000000,7,66000,6.6,2314,27818,3
538,275293450,197412,25517,720,65000000,7.4,71000,6.7,1456,38481,3
673,691210692,701607,49942,1959,75000000,7.3,140000,6.9,9634,48953,3
382,183018522,70838,11454,208,85000000,5.6,18000,5.5,1148,10458,2
256,358375603,164148,37142,168,85000000,7.1,28000,6.8,2622,34266,3
360,59418613,61995,712,356,75000000,5.9,33000,6,392,840,1
589,47042000,428916,37387,667,30000000,7.4,75000,6.6,4777,36502,2
558,132820716,216032,2759,640,40000000,7.4,39000,6.7,1723,2304,3
599,752215857,451803,28489,1225,215000000,7,56000,6.5,6734,26427,3
285,88058786,104005,1050,248,35000000,6.2,18000,5.6,909,779,2
229,100000000,157051,2043,261,12000000,6.7,29000,6.5,1624,1747,3
750,1108561013,522048,2039,1498,200000000,7.8,80000,6.9,7718,1839,4
416,396600000,228554,72881,710,170000000,6.1,53000,5.8,3183,54274,3
234,1165882,20376,5158,166,1500000,5.1,15000,5.1,244,2446,1
552,609016565,440084,2121,755,120000000,8,122000,7.2,5912,1473,3
242,160112671,117096,5861,271,70000000,6.4,24000,6.1,1885,5675,2
364,33400000,351274,13631,457,13000000,8,131000,7.7,3056,11989,2
358,376141306,238671,16410,461,45000000,6.3,63000,6.1,2783,15611,3
383,312573423,246803,57881,474,100000000,6.7,108000,6.1,2940,52165,3
488,538983207,273556,5005,428,185000000,7.2,39000,6.7,4760,3894,3
162,54819301,25484,6137,189,30000000,5.1,13000,4.9,143,2692,1
370,35287788,73886,4774,165,39000000,7,25000,6.6,951,15652,2
256,306941670,123553,20645,174,145000000,7.3,25000,7.1,1981,20528,3
436,276572938,229823,12175,504,130000000,6.7,31000,6,2683,11637,2
232,53909751,78974,3479,141,30000000,6.2,11000,5.7,466,2862,2
387,218340595,226583,16385,448,60000000,7,38000,6.3,3046,14188,3
339,82966152,104301,1948,269,45000000,6.5,28000,6.2,784,1616,2
488,441809770,243834,46204,845,61000000,7.6,144000,7.2,1925,44000,3
511,130482868,284825,22686,828,102000000,7.5,124000,6.6,3031,21670,2
265,68267862,104072,2486,207,68000000,5.7,15000,5.3,899,1831,1
241,156974557,147641,29808,238,65000000,6.3,18000,5.9,1411,28888,2
328,107139399,72287,13597,176,60000000,7,12000,6.7,808,11498,3
221,1969193,55567,23187,144,20000000,6.9,20000,6.4,368,22717,1
449,161772375,264047,20952,491,31000000,7.3,64000,6.5,2449,19858,3
509,958400000,483540,9152,951,250000000,7.9,83000,7.6,4633,6745,3
450,89289910,181792,45757,711,255000000,6.5,48000,5.9,2361,43563,1
265,131940411,156898,20148,172,61000000,6.7,22000,6.6,1611,19131,3
231,60052138,67796,3580,258,60000000,6.2,14000,5.6,1017,2542,1
433,17654912,91082,3798,274,12000000,7.8,28000,7.4,648,3195,2
606,392000694,780588,46057,1138,100000000,8.2,138000,7.9,6768,61000,4
183,174578751,86627,10882,204,90000000,5.9,28000,5.9,1685,9961,2
538,251171807,358416,83012,751,40000000,7.3,63000,6.8,2868,71737,3
302,98337295,125305,17551,343,38000000,6.4,39000,6.2,2066,15951,2
351,371876278,146352,31958,288,130000000,5.8,42000,5.4,3045,30143,2
597,187000000,439176,4251,695,20000000,8.1,83000,7.9,3787,3160,4
349,243843127,158720,14168,744,130000000,4.9,37000,5,2579,11837,2
361,89328627,139329,3708,578,3000000,5.7,31000,6,2498,2352,2
180,32438988,79146,41059,352,6000000,4.3,25000,4.5,816,37000,1
427,46089287,185587,278,401,20000000,7,49000,6.7,1820,1256,2
511,318000141,300110,9049,807,13000000,7.5,131000,7.4,3169,7657,3
418,126041322,310540,38751,669,32000000,6.7,97000,6.2,2394,37133,2
406,1274219009,421658,2582,904,150000000,7.6,58000,7.3,5440,2082,3
590,467365246,395573,21411,1171,190000000,7.8,92000,7.4,4479,34909,3
338,197687603,106416,1766,205,195000000,6.3,22000,5.5,2634,1676,2
336,71009334,80861,27797,431,25000000,5.3,24000,5,724,25000,2
283,63464861,99430,517,182,8000000,7.4,43000,7.3,1285,608,3
319,149295601,203963,1261,420,40000000,7.6,58000,7.4,1549,1588,3
733,662845518,548573,20495,2536,225000000,7.2,118000,6.5,6462,18748,4
274,87100449,202341,1595,391,12000000,7.8,105000,7.8,2140,1919,3
150,18000000,28573,3004,87,13000000,5.7,5000,5.5,307,2589,2
195,4235151,30479,822,162,1000000,7.8,16000,7.3,226,821,2
216,95020213,66511,16911,200,40000000,7.5,28000,6.8,795,15139,3
306,970761885,286877,11905,284,76000000,7.5,56000,7,4729,10275,3
454,122126687,383591,37321,620,46000000,8.1,86000,7.9,3183,36777,3
218,150962475,116994,20965,324,175000000,6.3,35000,5.9,1357,20029,1
450,63372757,148334,18469,274,30000000,7.1,29000,6.4,1340,17954,2
412,304654182,165618,15481,503,92000000,5.3,66000,5.2,3519,14475,2
203,43058898,82804,39989,154,22000000,6.5,15000,6.4,898,37837,2
452,116980662,184641,337,326,35000000,6.9,81000,6.4,2698,457,2
405,11176469,95362,328,270,3000000,7.9,62000,7.3,583,251,2
169,248384621,64387,848,85,78000000,6.5,15000,6.4,936,819,3
359,82394288,108248,20051,371,30000000,5.9,39000,5.8,1505,19642,2
203,268426634,85833,14552,113,100000000,6.7,17000,6.4,1143,14348,3
212,90565421,107028,10247,457,60000000,6,44000,6.2,1649,8091,2
286,122915111,177653,15708,279,50000000,6.7,34000,6.7,1688,14686,3
384,117698894,447979,13312,629,75000000,7.3,105000,7.3,5635,13206,3
486,644571402,414070,59803,532,170000000,7.1,63000,6.8,4873,58230,3
211,44907260,46480,36009,115,40000000,6.4,12000,6,437,35873,2
120,5496951,43879,16355,133,27220000,6.4,11000,6.1,473,13905,1
654,531865000,465019,32392,995,200000000,7,129000,6.7,5683,29395,3
224,46216641,90046,28479,141,35000000,6.2,17000,5.7,1467,27564,2
146,10501938,19586,676,109,18000000,4.4,4000,4.9,248,613,0
502,847423452,498397,49355,706,130000000,7.6,82000,7.4,6656,49031,3
270,158674180,133177,4825,380,43000000,6.6,24000,6.5,1595,2715,3
393,90247624,312629,37206,475,38000000,8.1,83000,7.7,2310,38471,3
608,1215439994,557489,30426,1187,200000000,7.2,95000,6.8,8951,29000,3
535,32935319,96233,4082,313,11000000,7.4,26000,7.2,845,4547,2
350,60700000,202967,19168,378,28000000,6.6,36000,6.3,2275,18397,2
405,112544580,117719,19809,306,35000000,7.5,39000,7.3,1256,17927,3
257,585178928,150618,43286,195,135000000,7.3,28000,6.8,2447,43016,3
358,161025640,203154,31782,698,70000000,6.5,45000,6.2,3010,30837,2
543,97542952,125016,673,789,17000000,6.5,70000,6.4,1754,803,2
575,407602906,381148,19166,1106,180000000,7,83000,6.7,4903,17887,3
153,78378744,50337,34319,177,20000000,3.5,13000,4.6,813,32609,2
339,205366737,164238,18204,434,150000000,6.4,33000,6.3,1910,18583,2
415,99206215,150082,1353,384,18000000,7.3,36000,7,1126,12080,3
232,2365467,36494,13607,118,4000000,6.9,11000,6.5,346,13455,2
168,48065672,60407,2730,84,13000000,5.9,11000,5.7,748,1603,2
490,351040419,362933,29769,753,105000000,7.3,115000,7.3,3885,30585,3
211,27330000,21223,301,108,35000000,7.1,13000,6.5,225,305,2
289,269994119,316671,3425,301,37000000,7,35000,6.8,3053,2141,3
238,42930462,64748,15800,122,35000000,6.5,12000,5.8,1155,13903,2
491,95000000,323353,16281,527,55000000,7.9,65000,7.6,2495,16242,3
224,8555008,29282,36337,105,28000000,6.2,11000,5.7,368,36589,1
574,47351251,355126,19359,748,23000000,8,148000,7.9,4215,19233,3
276,23198652,115813,8375,216,4600000,7.4,22000,7.1,695,8106,2
488,86758912,181472,12286,514,39200000,7,58000,6.7,2910,12539,3
304,115922175,87665,20035,323,25000000,7.2,41000,7.2,1134,17202,3
525,491868548,175413,73441,511,200000000,6.4,60000,5.7,3576,70000,3
326,125537191,184561,12908,554,110000000,6.7,123000,6.6,2354,12216,2
298,63327201,92461,1300,347,44000000,5.9,43000,6,1859,1447,2
471,55198285,326494,17738,340,5000000,8,65000,7.9,2973,15108,3
376,743559607,235025,14863,265,200000000,7.3,44000,7,3622,13576,3
393,146497771,134869,1949,304,15000000,6.2,57000,6,1452,1717,2
539,286168572,387436,22004,892,120000000,7,71000,6.4,4862,22364,3
476,286140700,338087,17689,814,115000000,6.6,61000,6.4,3510,16662,3
349,224803475,159868,11946,304,50000000,6.1,45000,5.7,3290,11062,3
738,716392705,582917,87,1885,105000000,7.8,147000,7.3,5879,75,4
495,705717432,321227,28631,1067,200000000,6.7,41000,6.5,4274,26289,3
490,542307423,325264,16277,916,58800000,7.3,112000,7.4,4600,31280,3
454,233555708,467613,20295,608,14000000,8.1,165000,8,5895,19775,4
218,169837010,97045,16179,285,40000000,5.7,55000,5.4,1140,14839,2
154,349424282,67223,53587,126,127000000,6.2,11000,6.1,1893,53189,3
351,268157400,216581,2771,397,18000000,6.4,21000,6.2,2773,2136,3
653,773328629,682155,32438,1097,170000000,8.1,96000,7.9,10014,31571,4
176,133821816,24735,4796,213,65000000,5.2,16000,6,472,4016,2
291,31554855,57210,22574,158,15000000,6.8,13000,6.5,545,22497,2
222,325771424,133436,16967,323,48000000,6,38000,6.1,2225,15394,3
153,373552094,60230,19963,118,132000000,6.7,11000,6.5,1375,19625,3
180,88880821,52894,1484,185,22000000,7.3,55000,7.3,516,1721,3
141,78874843,83893,20466,132,11000000,6.8,15000,7.3,1415,18617,3
422,956019788,354228,9152,802,250000000,7.5,65000,7.1,4884,6745,3
129,136621271,106820,3627,147,17000000,6.5,14000,6.4,1234,2250,2
156,97437106,45580,19513,102,50000000,7.3,18000,7.3,778,18708,3
378,1091405097,242420,3988,918,210000000,5.7,56000,5.8,3136,2738,3
253,53181600,87950,15428,207,28000000,6.5,15000,6.2,1145,14823,2
492,242688965,182910,14160,630,120000000,6.2,60000,5.7,2385,13294,2
156,41296320,54242,4662,145,19800000,6.6,14000,6.5,512,4138,2
314,268031828,128694,26489,657,140000000,6.1,51000,5.6,1957,24640,2
568,369330363,569841,4348,1127,61000000,8.1,146000,7.9,6023,23272,4
321,212902372,101178,62837,779,50000000,6,90000,5.6,1688,61252,3
403,752100229,305008,81385,591,125000000,6.7,52000,6.6,5767,70508,3
539,747862775,514125,91434,752,250000000,8,82000,7.5,6155,76000,3
359,222809600,200647,16967,384,50000000,7,24000,6.8,2302,15498,3
196,107670357,114294,30571,187,42000000,6.3,12000,6.1,1575,29516,2
292,609123048,221128,23378,343,145000000,7.9,46000,7.6,3163,22208,3
348,477200000,167089,2690,491,125000000,5.9,62000,5.8,2677,2544,3
149,15447154,48873,14617,105,22000000,6.3,11000,6.2,672,14505,1
576,714766572,496749,36188,742,170000000,7.8,55000,7.6,5881,32094,3
534,38697217,293304,15554,552,8500000,7.9,65000,7.6,3475,15392,2
313,50549107,99035,1411,289,60000000,6.2,17000,5.9,1194,1221,1
297,348319861,310903,1783,524,34000000,6.8,38000,7,5540,1313,3
371,154984035,102248,27674,403,70000000,6.1,34000,5.8,1545,26559,2
401,11110975,61935,707,242,20000000,6.7,18000,6.5,852,557,2
419,123726688,265507,14100,388,15000000,7.7,90000,7.8,3403,14145,3
712,675120017,928227,31488,2725,165000000,8.6,349000,8.1,11187,50000,4
276,83719388,136973,30183,275,50000000,7.4,47000,7.2,1433,27071,2
585,370541256,431620,12652,741,178000000,7.9,77000,7.6,4979,11581,3
330,188441614,258186,19428,322,50000000,7.1,24000,7,3375,18601,3
196,40100000,49948,1410,211,5000000,6.1,14000,6.1,788,1427,2
169,19682924,24854,15044,374,16000000,3.1,31000,3.7,396,13913,1
339,39407616,111102,49433,239,65000000,6.5,32000,6.3,1314,42436,1
349,52501541,86664,4896,252,15000000,7.1,38000,7,961,3644,2
355,103039258,172707,54031,462,100000000,6.3,37000,5.9,2339,51968,2
521,710644566,317542,14363,620,170000000,7.6,45000,7.3,4511,13082,3
293,12342632,247020,12239,835,44000000,6.6,50000,6.1,2340,11890,1
536,174600318,475518,15082,644,30000000,8.1,149000,8,4644,14670,3
261,215529201,138582,5178,423,70000000,6.3,37000,6.2,2439,4143,2
272,117831631,84508,1099,308,130000000,5.6,20000,5.2,1294,1586,1
285,108782847,92364,6807,244,9000000,6.5,15000,6.6,2008,3944,3
245,243400000,115687,16235,269,100000000,6,21000,5.6,1707,15887,2
366,337580051,225273,10583,523,110000000,6.2,71000,6.1,2438,8263,3
401,758539785,252257,15516,634,180000000,7,89000,7,4607,14017,3
326,307166834,249688,10565,548,12000000,7.8,93000,7.6,3868,9864,3
224,259207227,49207,3697,174,55000000,7.2,30000,7,899,2171,3
327,203277636,136954,7081,346,66000000,6.5,32000,6.1,1560,6540,2
275,54837234,72803,20330,171,13000000,7.3,33000,7.1,770,19411,3
